_id,aggregation_period,int_id,intersection_name,px,classification,dir,period_name,volume
206,Apr 2018,13466630,King St E / Jarvis St,3,Vehicles,WB,AM Peak Period (07:00-10:00),79
207,Apr 2018,13466630,King St E / Jarvis St,3,Vehicles,WB,Evening (17:00-22:00),159
208,Apr 2018,13466630,King St E / Jarvis St,3,Vehicles,WB,Midday (10:00-16:00),189
209,Apr 2018,13466630,King St E / Jarvis St,3,Vehicles,WB,Morning (08:00-12:00),123
210,Apr 2018,13466630,King St E / Jarvis St,3,Vehicles,WB,PM Peak Period (16:00-19:00),80
211,Apr 2018,13466743,Bay St / Adelaide St W,62,Cyclists,EB,14 Hour,869
212,Apr 2018,13466743,Bay St / Adelaide St W,62,Cyclists,EB,Afternoon (12:00-17:00),234
213,Apr 2018,13466743,Bay St / Adelaide St W,62,Cyclists,EB,AM Peak Period (07:00-10:00),266
214,Apr 2018,13466743,Bay St / Adelaide St W,62,Cyclists,EB,Evening (17:00-22:00),329
215,Apr 2018,13466743,Bay St / Adelaide St W,62,Cyclists,EB,Midday (10:00-16:00),228
216,Apr 2018,13466743,Bay St / Adelaide St W,62,Cyclists,EB,Morning (08:00-12:00),302
217,Apr 2018,13466743,Bay St / Adelaide St W,62,Cyclists,EB,PM Peak Period (16:00-19:00),301
218,Apr 2018,13466743,Bay St / Adelaide St W,62,Pedestrians,EB,14 Hour,6537
219,Apr 2018,13466743,Bay St / Adelaide St W,62,Pedestrians,EB,Afternoon (12:00-17:00),2581
220,Apr 2018,13466743,Bay St / Adelaide St W,62,Pedestrians,EB,AM Peak Period (07:00-10:00),1686
221,Apr 2018,13466743,Bay St / Adelaide St W,62,Pedestrians,EB,Evening (17:00-22:00),1898
222,Apr 2018,13467372,Bathurst St / Richmond St W,298,Vehicles,WB,14 Hour,6041
223,Apr 2018,13466743,Bay St / Adelaide St W,62,Pedestrians,EB,Midday (10:00-16:00),2754
224,Apr 2018,13466743,Bay St / Adelaide St W,62,Pedestrians,EB,Morning (08:00-12:00),2071
